id,title,description,product_type,image_link
LUX-LINER-15-50,A7 Drop-In Envelope Liners (6 15/16 x 6 5/8) - Lemonade - Yellow - Pack of 50,,,
LUX-LINER-17-50,A7 Drop-In Envelope Liners (6 15/16 x 6 5/8) - Chocolate - Brown - Pack of 50,,,
LUX-LINER-18-50,A7 Drop-In Envelope Liners (6 15/16 x 6 5/8) - Ruby Red - Pack of 50,,,
LUX-LINER-22-50,A7 Drop-In Envelope Liners (6 15/16 x 6 5/8) - Smoke - Gray - Pack of 50,,,
LUX-LINER-23-50,A7 Drop-In Envelope Liners (6 15/16 x 6 5/8) - Boardwalk Blue - Pack of 50,,,
LUX-LINER-25-50,A7 Drop-In Envelope Liners (6 15/16 x 6 5/8) - Teal - Blue - Pack of 50,,,
LUX-LINER-26-50,A7 Drop-In Envelope Liners (6 15/16 x 6 5/8) - Garnet - Red - Pack of 50,,,
LUX-LINER-L05-50,A7 Drop-In Envelope Liners (6 15/16 x 6 5/8) - Lilac - Purple - Pack of 50,,,
LUX-LINER-L07-50,A7 Drop-In Envelope Liners (6 15/16 x 6 5/8) - Nude - Natural - Pack of 50,,,
LUX-LINER-L17-50,A7 Drop-In Envelope Liners (6 15/16 x 6 5/8) - Holiday Green - Pack of 50,,,
LUX-LINER-L20-50,A7 Drop-In Envelope Liners (6 15/16 x 6 5/8) - Citrus - Yellow - Pack of 50,,,
LUX-LINER-L22-50,A7 Drop-In Envelope Liners (6 15/16 x 6 5/8) - Wasabi - Green - Pack of 50,,,
LUX-MPB-10-5,Medium Favor Boxes (2 1/2 x 7/8 x 4) - Magenta - Pink - Pack of 5,,,
LUX-MPB-103-5,Medium Favor Boxes (2 1/2 x 7/8 x 4) - Navy - Blue - Pack of 5,,,
LUX-MPB-11-5,Medium Favor Boxes (2 1/2 x 7/8 x 4) - Mandarin - Orange - Pack of 5,,,
LUX-MPB-12-5,Medium Favor Boxes (2 1/2 x 7/8 x 4) - Sunflower - Yellow - Pack of 5,,,
LUX-MPB-13-10,Medium Favor Boxes (2 1/2 x 7/8 x 4) - Baby Blue - Pack of 10,,,
LUX-MPB-14-10,Medium Favor Boxes (2 1/2 x 7/8 x 4) - Candy Pink - Pack of 10,,,
